eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node6;0;111636;38877;1;5483;7697395.092666;89 days 2:13:19
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node7;0;93414;29925;1;6890;7552414.300666;87 days 9:56:31
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node8;0;175744;35458;1;2155;8286250.953333;95 days 22:11:23
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node9;0;213391;37302;0;7376;7397643.492666;85 days 14:54:58
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node10;0;326773;37253;0;7425;7389966.936;85 days 12:46:40
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node11;0;215866;36670;1;4816;7830630.257333;90 days 15:14:17
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node12;0;177064;35906;0;6327;7586436.806;87 days 19:24:58
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node13;0;101976;33394;0;6125;7645224.448666;88 days 11:40:57
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node14;0;86186;25109;1;2151;8390408.094;97 days 2:47:14
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node15;0;111911;33303;0;7464;7422966.734;85 days 21:58:7
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node16;0;123015;30077;1;7632;7427226.734;85 days 23:7:12
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node17;0;125274;31041;1;4951;7864419.967333;91 days 0:35:53
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node18;0;120933;31854;0;6718;7561789.783333;87 days 12:33:20
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node19;0;116619;29579;0;7335;7481706.644;86 days 14:16:18
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node20;0;85893;27874;1;4954;7895591.031333;91 days 9:17:49
eboracum.wsn.network.node.sensor.controlled.PSControlledWSNNode;Node21;0;65663;22958;0;6673;7658251.037333;88 days 15:19:16
