Simulation Total Time;8290024
Total Number of Sensed Events by the WSN: 0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;0;0;0;4873;8187833.333333;94 days 18:37:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;0;0;0;5229;8128500;94 days 1:59:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;0;0;1;5229;8128500;94 days 1:59:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;0;0;0;5249;8125166.666667;94 days 1:10:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;0;0;1;5310;8115000;93 days 22:13:14
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;0;0;1;5327;8112166.666667;93 days 21:29:45
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;0;0;1;5299;8116833.333333;93 days 22:53:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;0;0;1;5177;8137166.666667;94 days 4:29:41
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;0;0;1;5373;8104500;93 days 19:16:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;0;0;1;4814;8197666.666667;94 days 21:30:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;0;0;1;4859;8190166.666667;94 days 19:3:2
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;0;0;0;5261;8123166.666667;94 days 0:31:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;0;0;1;5308;8115333.333333;93 days 22:21:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;0;0;0;5291;8118166.666667;93 days 23:17:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;0;0;1;5206;8132333.333333;94 days 3:1:40
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;0;0;0;5261;8123166.666667;94 days 0:31:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;0;0;1;5305;8115833.333333;93 days 22:35:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;0;0;0;5418;8097000;93 days 17:15:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;0;0;0;5447;8092166.666667;93 days 17:15:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;0;0;0;4771;8204833.333333;94 days 23:10:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;0;0;1;4768;8205333.333333;94 days 23:26:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;0;0;0;5298;8117000;93 days 22:53:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;0;0;0;5311;8114833.333333;93 days 22:9:55
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;0;0;0;5376;8104000;93 days 19:13:7
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;0;0;0;5318;8113666.666667;93 days 22:9:55
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;0;0;1;5260;8123333.333333;94 days 0:31:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;0;0;0;5216;8130666.666667;94 days 2:37:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;0;0;0;5222;8129666.666667;94 days 2:37:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;0;0;0;5266;8122333.333333;94 days 0:24:2
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;0;0;1;4817;8197166.666667;94 days 21:7:9
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;0;0;1;4751;8208166.666667;95 days 0:3:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;0;0;1;5213;8131166.666667;94 days 2:49:42
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;0;0;0;5181;8136500;94 days 4:17:33
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;0;0;0;5305;8115833.333333;93 days 22:35:26
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;0;0;1;5218;8130333.333333;94 days 2:37:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;0;0;1;5189;8135166.666667;94 days 4:17:33
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;0;0;0;5271;8121500;93 days 23:59:30
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;0;0;1;5226;8129000;94 days 2:10:1
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;0;0;1;5341;8109833.333333;93 days 21:7:12
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node49;0;0;0;0;4806;8199000;94 days 21:30:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node50;0;0;0;0;4868;8188666.666667;94 days 18:37:56
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node51;0;0;0;1;5239;8126833.333333;94 days 1:33:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node52;0;0;0;0;5274;8121000;93 days 23:54:11
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node53;0;0;0;1;5401;8099833.333333;93 days 18:12:12
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node54;0;0;0;1;5286;8119000;93 days 23:17:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node55;0;0;0;1;5265;8122500;94 days 0:24:2
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node56;0;0;0;1;5342;8109666.666667;93 days 20:41:55
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node57;0;0;0;0;5350;8108333.333333;93 days 20:27:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node58;0;0;0;0;5237;8127166.666667;94 days 1:33:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node59;0;0;0;0;4800;8200000;94 days 21:53:25
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node60;0;0;0;1;4785;8202500;94 days 22:28:38
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node61;0;0;0;1;5172;8138000;94 days 4:33:33
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node62;0;0;0;0;5233;8127833.333333;94 days 1:59:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node63;0;0;0;0;5236;8127333.333333;94 days 1:59:27
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node64;0;0;0;1;5163;8139500;94 days 5:6:39
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node65;0;0;0;0;5246;8125666.666667;94 days 1:10:48
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node66;0;0;0;1;5352;8108000;93 days 20:27:4
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node67;0;0;0;1;5414;8097666.666667;93 days 17:39:23
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node68;0;0;0;0;5313;8114500;93 days 22:9:55
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node69;0;0;0;0;4811;8198166.666667;94 days 21:30:35
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node70;0;0;0;1;4795;8200833.333333;94 days 22:22:29
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node71;0;0;0;1;5312;8114666.666667;93 days 22:9:55
