Simulation Total Time;8908752
Total Number of Sensed Events by the WSN: 576507
Total Number of Sensed Events by the Drone: 252524
Number of Sensed Events by the Drone per Day
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;685729;173630;0;35072;2692793.333328;31 days 4:0:9
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;647195;158260;0;31651;3302803.333329;38 days 5:27:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;910782;108202;1;20557;5281683.333322;61 days 3:8:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;753615;44199;0;6794;7742983.333324;89 days 14:49:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;766220;36231;0;5092;8047536.666656;93 days 3:27:7
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;798206;94161;0;17212;5874839.999992;67 days 23:54:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;638593;142471;1;28132;3930203.333329;45 days 11:44:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;621529;158246;0;31714;3292559.999996;38 days 2:36:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;637164;142481;0;28036;3945853.333329;45 days 16:4:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;809052;93580;0;17090;5896699.999991;68 days 5:58:34
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;769102;36300;0;5189;8031463.333323;92 days 22:58:28
eboracum.wsn.network.node.sensor.MuleWSNNode;Node35;0;826823;18869;0;2187;8579893.333321;99 days 7:18:38
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;1110733;55908;0;8883;7362749.999985;85 days 5:12:54
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;813539;93787;0;17074;5898623.333325;68 days 6:30:36
eboracum.wsn.network.node.sensor.MuleWSNNode;Node38;0;904800;108127;0;20592;5276216.666656;61 days 1:37:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node39;0;794626;93900;0;17236;5871789.999991;67 days 23:3:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node40;0;1109309;55594;0;8756;7384539.999985;85 days 11:15:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node41;0;834242;18772;0;2190;8579726.666655;99 days 7:16:10
eboracum.wsn.network.node.sensor.MuleWSNNode;Node42;0;634587;5499;0;534;8894449.99999;102 days 22:41:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node43;0;834556;19053;0;2244;8569969.999987;99 days 4:33:3
eboracum.wsn.network.node.sensor.MuleWSNNode;Node44;0;771713;36230;0;5162;8036106.666656;93 days 0:16:1
eboracum.wsn.network.node.sensor.MuleWSNNode;Node45;0;758777;44095;0;6735;7752966.666657;89 days 17:36:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node46;0;761473;36443;0;5215;8026739.99999;92 days 21:39:37
eboracum.wsn.network.node.sensor.MuleWSNNode;Node47;0;824505;18786;0;2184;8580659.999988;99 days 7:31:10
eboracum.wsn.network.node.sensor.MuleWSNNode;Node48;0;634358;5284;0;455;8908069.999991;103 days 2:28:44
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;416470;0
Time that first node die: Node24 31 days 4:0:9
Simulation Total Time;8900709
Total Number of Sensed Events by the WSN: 575063
Total Number of Sensed Events by the Drone: 252453
Number of Sensed Events by the Drone per Day
1;4021
2;4020
3;4063
4;3922
5;4033
6;4095
7;4058
8;4017
9;4079
10;4082
11;3996
12;4110
13;4049
14;4029
15;4086
16;3975
17;4012
18;3977
19;4062
20;3990
21;3959
22;4055
23;3952
24;4033
25;3998
26;4035
27;4079
28;4001
29;4089
30;4030
31;4013
32;3999
33;3999
34;4076
35;4046
36;4044
37;3935
38;3996
39;3819
40;3566
41;3626
42;3558
43;3645
44;3575
45;3532
46;3087
47;2355
48;2399
49;2491
50;2383
51;2401
52;2403
53;2384
54;2417
55;2380
56;2449
57;2411
58;2404
59;2412
60;2367
61;2305
62;2041
63;2032
64;2051
65;2063
66;2033
67;2053
68;2059
69;1017
70;861
71;896
72;865
73;851
74;876
75;905
76;847
77;852
78;835
79;896
80;912
81;850
82;925
83;836
84;890
85;885
86;707
87;608
88;583
89;590
90;539
91;511
92;533
93;519
94;181
95;165
96;168
97;161
98;168
99;178
100;65
101;20
102;22
103;20
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death; Lifetime
eboracum.wsn.network.node.sensor.MuleWSNNode;Node0;0;610560;5374;0;514;8898133.333324;102 days 23:42:29
eboracum.wsn.network.node.sensor.MuleWSNNode;Node1;0;860073;18679;0;2167;8583793.333321;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node2;0;756156;36275;0;5140;8039549.99999;93 days 1:12:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node3;0;748901;44414;0;6839;7734919.99999;89 days 12:35:20
eboracum.wsn.network.node.sensor.MuleWSNNode;Node4;0;769169;36653;0;5204;8027836.666656;92 days 21:58:50
eboracum.wsn.network.node.sensor.MuleWSNNode;Node5;0;834329;19011;0;2234;8571743.333321;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node6;0;633256;5421;0;511;8898466.666657;102 days 23:48:52
eboracum.wsn.network.node.sensor.MuleWSNNode;Node7;0;809165;18712;0;2179;8581723.333321;99 days 7:49:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node8;0;1126473;55400;0;8706;7393356.666651;85 days 13:43:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node9;0;812575;93668;0;17114;5892486.666657;68 days 4:48:48
eboracum.wsn.network.node.sensor.MuleWSNNode;Node10;0;959575;108621;0;20766;5246149.999989;60 days 17:16:2
eboracum.wsn.network.node.sensor.MuleWSNNode;Node11;0;812214;94531;1;17326;5854983.333325;67 days 18:23:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node12;0;1111764;55997;0;8848;7368169.999985;85 days 6:43:19
eboracum.wsn.network.node.sensor.MuleWSNNode;Node13;0;822343;18749;0;2165;8583886.666654;99 days 8:25:42
eboracum.wsn.network.node.sensor.MuleWSNNode;Node14;0;770313;36191;0;5149;8038359.99999;93 days 0:53:13
eboracum.wsn.network.node.sensor.MuleWSNNode;Node15;0;859873;93520;0;17104;5894613.333324;68 days 5:23:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node16;0;736299;142226;0;28027;3948166.666661;45 days 16:43:0
eboracum.wsn.network.node.sensor.MuleWSNNode;Node17;0;686680;158506;0;31647;3302643.333328;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node18;0;688830;142871;1;28209;3916296.666661;45 days 7:51:47
eboracum.wsn.network.node.sensor.MuleWSNNode;Node19;0;802294;94171;0;17216;5874149.999991;67 days 23:42:33
eboracum.wsn.network.node.sensor.MuleWSNNode;Node20;0;760277;36081;0;5079;8050163.333323;93 days 4:10:8
eboracum.wsn.network.node.sensor.MuleWSNNode;Node21;0;761869;44137;0;6741;7751846.666657;89 days 17:17:44
eboracum.wsn.network.node.sensor.MuleWSNNode;Node22;0;911401;107913;0;20613;5273503.333323;61 days 0:52:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node23;0;662667;157920;1;31509;3327133.33333;38 days 12:12:15
eboracum.wsn.network.node.sensor.MuleWSNNode;Node24;0;689050;173368;1;34930;2716873.333328;31 days 10:41:21
eboracum.wsn.network.node.sensor.MuleWSNNode;Node25;0;648054;158485;0;31631;3305323.333329;38 days 6:8:49
eboracum.wsn.network.node.sensor.MuleWSNNode;Node26;0;908463;108251;0;20690;5259793.333322;60 days 21:3:25
eboracum.wsn.network.node.sensor.MuleWSNNode;Node27;0;754639;43924;0;6686;7761539.999991;89 days 19:59:13
eboracum.wsn.network.node.sensor.MuleWSNNode;Node28;0;764102;36516;0;5248;8021106.666656;92 days 20:6:24
eboracum.wsn.network.node.sensor.MuleWSNNode;Node29;0;798632;93858;0;17133;5888753.333325;68 days 3:46:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node30;0;640779;142058;0;27957;3960163.333329;45 days 20:4:22
eboracum.wsn.network.node.sensor.MuleWSNNode;Node31;0;623445;158007;0;31549;3320306.666663;38 days 10:18:43
eboracum.wsn.network.node.sensor.MuleWSNNode;Node32;0;636798;142141;0;28049;3944863.333329;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node33;0;808708;93742;0;17108;5893219.999991;68 days 5:0:51
eboracum.wsn.network.node.sensor.MuleWSNNode;Node34;0;770119;36145;0;5150;8038349.99999;
eboracum.wsn.network.node.sensor.MuleWSNNode;Node35;0;825523;19200;0;2294;8561313.333321;99 days 2:9:32
eboracum.wsn.network.node.sensor.MuleWSNNode;Node36;0;1110251;55990;0;8886;7361989.999985;85 days 5:0:4
eboracum.wsn.network.node.sensor.MuleWSNNode;Node37;0;810696;93926;0;17215;5875129.999992;67 days 23:59:2
